1.0 C1 58.52317214300463
1.0 C2 29.262645863470464
1.0 C3 141.83693049528156
1.0 C4 142.3628897155053
1.0 C5 117.25836329820218
1.0 C6 118.18496176896068
1.0 C7 32.92700144657984
1.0 C8 68.76545773920235
1.0 C9 52.88692222911071
1.0 C10 22.3620348556864
1.0 C11 118.3572225666462
1.0 C12 136.93501825446015
1.0 C13 152.25977061376327
1.0 C14 126.09539505407484
1.0 C15 118.83116621891571
1.0 C16 123.46508851691111
1.0 C17 12.406479300130872
1.0 C18 34.02182200179104
1.0 C19 25.81297788799327
1.0 C20 118.10965970930667
1.0 C21 125.88802369635694
1.0 H1 4.489936626024653
1.0 H2 1.9659013570296868
1.0 H3 1.9792594888751114
1.0 H4 1.9617393400840444
1.0 H5 1.8510222497761213
1.0 H6 1.8595556933250708
1.0 H7 1.8640779775435745
1.0 H8 3.121047737135757
1.0 H9 4.758029895984018
1.0 H10 2.6280505614107597
1.0 H11 2.5046876076324325
1.0 H12 3.399355927533248
1.0 H13 3.8069635599641996
1.0 H14 3.7628077426465545
1.0 H15 6.686264379692757
1.0 H16 3.2797106840256447
1.0 H17 3.2806447613143073
1.0 H18 3.280825928222073
1.0 H19 4.716082523937448
1.0 H20 5.665558999793328
1.0 H21 6.120912723014383
1.0 H22 3.6859103120479384
1.0 H23 3.67895088516913
1.0 H24 5.397215678170404
1.0 H25 4.009729971757239
1.0 H26 3.9502390301026264
1.0 H27 6.52281325342703
